id,name,part_count
1,Baseplates,234
3,Bricks Sloped,506
4,"Duplo, Quatro and Primo",3425
5,Bricks Special,145
6,Bricks Wedged,253
7,Containers,168
8,Technic Bricks,26
9,Plates Special,223
11,Bricks,1069
12,Technic Connectors,98
13,Minifigs,586
14,Plates,86
15,Tiles Special,355
16,Windows and Doors,423
17,Non-LEGO,1430
18,"Hinges, Arms and Turntables",233
19,Tiles,1639
20,Bricks Round and Cones,349
21,Plates Round and Dishes,239
22,Pneumatics,33
23,Panels,286
24,Other,67
25,"Technic Steering, Suspension and Engine",96
26,Technic Special,199
27,Minifig Accessories,1414
28,Plants and Animals,1139
29,Wheels and Tyres,304
30,Tubes and Hoses,171
31,"String, Bands and Reels",106
32,"Bars, Ladders and Fences",119
33,Rock,44
34,"Supports, Girders and Cranes",83
35,Transportation - Sea and Air,235
36,Transportation - Land,505
37,Bricks Curved,422
38,"Flags, Signs, Plastics and Cloth",823
39,Magnets and Holders,41
40,Technic Panels,74
41,"Bionicle, Hero Factory and Constraction",1233
42,"Belville, Scala and Fabuland",646
43,Znap,22
44,Mechanical,28
45,"Power Functions, Mindstorms and Electric",505
46,Technic Axles,28
47,Windscreens and Fuselage,330
48,Clikits,398
49,Plates Angled,69
50,HO Scale,32
51,Technic Beams,39
52,Technic Gears,79
53,Technic Pins,24
54,Technic Bushes,8
55,Technic Beams Special,26
56,Tools,20
57,"Non-Buildable Figures (Duplo, Fabuland, etc)",832
58,Stickers,2282
59,Minifig Heads,3465
60,Minifig Upper Body,4995
61,Minifig Lower Body,1868
62,Minidoll Heads,153
63,Minidoll Upper Body,346
64,Minidoll Lower Body,237
65,Minifig Headwear,1523
66,Modulex,219
67,Tiles Round and Curved,451
